id,title,subtitle,authors,isbn,publisherName,publicationYear,editionNumber,active,selectable,type,found,error
56,Ιστορία και Θεωρία της Αποκατάστασης,,Γιώργος Καραδέδος,9789606796142,Ιωάννης Καραδέδος,2009,1,True,True,Published,True,
845,Υδραυλική Περιβάλλοντος,,"Κωτσοβίνος Νικόλαος,Αγγελίδης Παναγιώτης",9789606653278,ΣΠΑΝΙΔΗΣ ΜΙΧΑΛΗΣ,2008,1,True,True,Published,True,
984,ΠΡΟΕΝΤΕΤΑΜΕΝΟ ΣΚΥΡΟΔΕΜΑ,,ΤΕΓΟΣ Α. ΙΩΑΝΝΗΣ,9789608237346,TSIARTSIANIS PRINT AND BIND Ε.Ε.,2009,1,True,True,Published,True,
995,ΥΔΡΑΥΛΙΚΗ ΑΝΟΙΚΤΩΝ ΑΓΩΓΩΝ,,ΣΟΥΛΗΣ ΙΩΑΝΝΗΣ,9789609929301,ΧΑΡΑΛΑΜΠΟΣ ΝΙΚ. ΑΪΒΑΖΗΣ,2008,1,True,True,Published,True,
1073,ΣΤΑΤΙΚΗ ΤΩΝ ΓΡΑΜΜΙΚΩΝ ΦΟΡΕΩΝ,ΚΛΑΣΙΚΕΣ ΚΑΙ ΜΗΤΡΩΙΚΕΣ ΜΕΘΟΔΟΙ ΑΝΑΛΥΣΗΣ,ΜΗΤΣΟΠΟΥΛΟΥ ΕΥΘΥΜΙΑ,9789606706288,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2009,1η έκδοση,True,True,Published,True,
1232,ΚΑΤΑΣΚΕΥΕΣ ΑΠΟ ΟΠΛΙΣΜΕΝΟ ΣΚΥΡΟΔΕΜΑ ΣΥΜΦΩΝΑ ΜΕ ΤΟΥΣ ΝΕΟΥΣ ΚΑΝΟΝΙΣΜΟΥΣ Ο/Σ &amp; ΑΝΤΙΣΕΙΣΜΙΚΩΝ ΚΑΤΑΣΚΕΥΩΝ,,"ΠΕΝΕΛΗΣ Γ., ΣΤΥΛΙΑΝΙΔΗΣ Κ., ΚΑΠΠΟΣ Α., ΙΓΝΑΤΑΚΗΣ Χ.",9789608609099,ΧΑΡΑΛΑΜΠΟΣ ΝΙΚ. ΑΪΒΑΖΗΣ,2008,2,True,True,Published,True,
1819,ΕΙΣΑΓΩΓΗ ΣΤΟ ΧΡΟΝΙΚΟ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΤΩΝ ΚΑΤΑΣΚΕΥΩΝ,,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ,9789608065604,ΜΑΡΚΟΥ ΚΑΙ ΣΙΑ Ε.Ε.,2008,Α,True,True,Published,True,
4305,"ΣΤΑΤΙΚΗ, ΤΟΜΟΣ ΙΙ, ΥΠΕΡΣΤΑΤΙΚΕΣ ΚΑΤΑΣΚΕΥΕΣ",,ΓΡΗΓΟΡΙΟΣ ΦΟΥΝΤΑΣ,9789603304555,ΓΡΗΓΟΡΙΟΣ ΧΡΥΣΟΣΤΟΜΟΥ ΦΟΥΝΤΑΣ,2007,1,True,True,Published,True,
5408,ΛΟΓΙΣΜΟΣ ΣΥΝΑΡΤΗΣΕΩΝ ΠΟΛΛΩΝ ΜΕΤΑΒΛΗΤΩΝ ΚΑΙ ΔΙΑΦΟΡΙΚΕΣ ΕΞΙΣΩΣΕΙΣ,,ΤΕΡΖΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ,9605160315,Ε.& Δ.ΑΝΙΚΟΥΛΑ Ο.Ε.,2006,Α' ΕΚΔΟΣΗ,True,True,Published,True,
6861,ΥΔΡΑΥΛΙΚΗ ΤΩΝ ΥΠΟΓΕΙΩΝ ΡΟΩΝ,,ΛΑΤΙΝΟΠΟΥΛΟΣ ΠΕΡΙΚΛΗΣ,9789609815451,ΧΑΡΙΣ Μ.Ε.Π.Ε.,2006,1,True,True,Published,True,
9642,Επεξεργασία Λυμάτων,,Τσώνης Στυλιανός,9789607530516,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2004,1η εκδ.,True,True,Published,True,
9664,Οδική ασφάλεια,,"Φραντζεσκάκης Ιωάννης Μ.,Γκόλιας Ιωάννης Κ.",9789607510068,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,1994,1η εκδ.,True,True,Published,True,
9699,Κυκλοφοριακή Τεχνική,,"Φραντζεσκάκης Ιωάννης Μ.,Γκόλιας Ιωάννης Κ.,Πιτσιάβα - Λατινοπούλου Μαγδαληνή Χ.",9789607182425,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2009,1η εκδ.,True,True,Published,True,
9720,Διαχείριση Κυκλοφορίας,,"Φραντζεσκάκης Ιωάννης Μ.,Πιτσιάβα - Λατινοπούλου Μαγδαληνή Χ.,Τσαμπούλας Δημήτριος Α.",9789607510501,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2002,1η έκδ.,True,True,Published,True,
9764,Προστασία του Ελληνικού Ακουστικού Τοπίου,θεσμικό πλαίσιο για τον περιβαλλοντικό θόρυβο,"Τζίκα - Χατζοπούλου Αλίκη,Χαϊκάλη Σ.,Βογιατζής Κ.",9789607182562,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2010,1η έκδ.,True,True,Published,True,
9780,Τεχνολογία Υδατικών Πόρων,,Μιμίκου Μαρία Α.,9789607530790,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2006,3η εκδ.,True,True,Published,True,
10973,Αντισεισμικές κατασκευές από σκυρόδεμα,,"Πενέλης Γ. Γ., Κάππος Α. Ι.",9604311301,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,1990,1η έκδ.,True,True,Published,True,
11001,Επιφανειακοί φορείς,Θεωρία και μέθοδοι επίλυσης,Βαλιάσης Θωμάς Ν.,9604316028,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,2000,1η έκδ.,True,True,Published,True,
11038,Η συμβολή του ανθρώπου στην οδική ασφάλεια,,Παυλίδης Θεόδωρος Π.,9604319396,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,2004,1η έκδ.,True,True,Published,True,
11063,Κατασκευές από χάλυβα,Αρχές σχεδιασμού στο πλαίσιο του Ευρωκώδικα 3,Μπανιωτόπουλος Χαράλαμπος Κ.,9789604561841,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,2009,1η έκδ.,True,True,Published,True,
11254,Εισαγωγή στη σεισμολογία,,"Παπαζάχος Βασίλειος Κ., Καρακαΐσης Γεώργιος Φ., Χατζηδημητρίου Παναγιώτης Μ.",9604319795,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,2005,1η έκδ.,True,True,Published,True,
11295,Συστήματα σιδηροδρομικών μεταφορών,"Υποδομή, τροχαίο υλικό, εκμετάλλευση",Πυργίδης Χρίστος,9789604561551,Ζήτη Πελαγία & Σια Ι.Κ.Ε.,2009,2η έκδ.,True,True,Published,True,
