Τίτλος,Καθηγητής,Κωδικός μαθήματος,Εξάμηνο,Περίοδος,Από που δίνονται τα βιβλία,Book id,Σειρά επιλογής,Ενεργό
Σχεδιασμός Μεταφορών,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ008,7,Ximerino,EUDOXUS,15157,0,true
Σχεδιασμός Μεταφορών,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ008,7,Ximerino,EUDOXUS,15156,1,true
Σχεδιασμός Μεταφορών,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ008,7,Ximerino,EUDOXUS,59366084,2,true
Οικοδομική ΙΙ,,ΔΟΜ022,7,Ximerino,EUDOXUS,17440,2,true
Οικοδομική ΙΙ,,ΔΟΜ022,7,Ximerino,EUDOXUS,12425,0,true
Οικοδομική ΙΙ,,ΔΟΜ022,7,Ximerino,EUDOXUS,86198313,1,true
"Ευφυείς πόλεις, Υποδομές και Μεταφορές",ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ021,9,Ximerino,EUDOXUS,112696634,1,true
"Ευφυείς πόλεις, Υποδομές και Μεταφορές",ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ021,9,Ximerino,EUDOXUS,9720,0,true
"Αποτύπωση, Αποκατάσταση και Επανάχρηση Κτιρίων",,ΔΟΜ035,9,Ximerino,EUDOXUS,12508,2,true
"Αποτύπωση, Αποκατάσταση και Επανάχρηση Κτιρίων",,ΔΟΜ035,9,Ximerino,EUDOXUS,56,0,true
"Αποτύπωση, Αποκατάσταση και Επανάχρηση Κτιρίων",,ΔΟΜ035,9,Ximerino,EUDOXUS,143550123,1,true
"Ανανεώσιμες πηγές ενέργειας (γεωθερμία, υδροηλεκτρικά έργα)",,ΥΔΡ010,8,Earino,EUDOXUS,122074535,1,true
"Ανανεώσιμες πηγές ενέργειας (γεωθερμία, υδροηλεκτρικά έργα)",,ΥΔΡ010,8,Earino,EUDOXUS,143567132,0,true
Επεξεργασία και Διαχείριση αστικών αποβλήτων,,ΥΔΡ007,7,Ximerino,EUDOXUS,59380527,3,true
Επεξεργασία και Διαχείριση αστικών αποβλήτων,,ΥΔΡ007,7,Ximerino,EUDOXUS,68374097,0,true
Επεξεργασία και Διαχείριση αστικών αποβλήτων,,ΥΔΡ007,7,Ximerino,EUDOXUS,143549998,1,true
Επεξεργασία και Διαχείριση αστικών αποβλήτων,,ΥΔΡ007,7,Ximerino,EUDOXUS,9642,2,true
Ειδικά Θέματα Γεωτεχνικής Μηχανικής,,ΓΕΩ007,7,Ximerino,EUDOXUS,50660011,3,true
Ειδικά Θέματα Γεωτεχνικής Μηχανικής,,ΓΕΩ007,7,Ximerino,EUDOXUS,33153307,1,true
Ειδικά Θέματα Γεωτεχνικής Μηχανικής,,ΓΕΩ007,7,Ximerino,EUDOXUS,122079920,2,true
Ειδικά Θέματα Γεωτεχνικής Μηχανικής,,ΓΕΩ007,7,Ximerino,EUDOXUS,86198385,0,true
"Πολεοδομία, Αστικός χώρος και εφαρμογές νομοθεσίας",ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ011,5,Ximerino,EUDOXUS,122092694,5,true
"Πολεοδομία, Αστικός χώρος και εφαρμογές νομοθεσίας",ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ011,5,Ximerino,EUDOXUS,133025683,4,true
"Πολεοδομία, Αστικός χώρος και εφαρμογές νομοθεσίας",ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ011,5,Ximerino,EUDOXUS,133024617,2,true
"Πολεοδομία, Αστικός χώρος και εφαρμογές νομοθεσίας",ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ011,5,Ximerino,EUDOXUS,112693185,3,true
"Πολεοδομία, Αστικός χώρος και εφαρμογές νομοθεσίας",ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ011,5,Ximerino,EUDOXUS,102124164,0,true
"Πολεοδομία, Αστικός χώρος και εφαρμογές νομοθεσίας",ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ011,5,Ximerino,EUDOXUS,45243,1,true
Γραμμική Άλγεβρα και Αναλυτική Γεωμετρία,ΒΟΖΙΚΗΣ ΧΡΗΣΤΟΣ - ΠΑΠΑΪΩΑΝΝΟΥ ΣΤΑΥΡΟΣ,ΓΕΝ002,1,Ximerino,EUDOXUS,59367707,1,true
Γραμμική Άλγεβρα και Αναλυτική Γεωμετρία,ΒΟΖΙΚΗΣ ΧΡΗΣΤΟΣ - ΠΑΠΑΪΩΑΝΝΟΥ ΣΤΑΥΡΟΣ,ΓΕΝ002,1,Ximerino,EUDOXUS,94689233,0,true
Γραμμική Άλγεβρα και Αναλυτική Γεωμετρία,ΒΟΖΙΚΗΣ ΧΡΗΣΤΟΣ - ΠΑΠΑΪΩΑΝΝΟΥ ΣΤΑΥΡΟΣ,ΓΕΝ002,1,Ximerino,EUDOXUS,122075443,2,true
Προεντεταμένο Σκυρόδεμα - Ειδικές Κατασκευές Σκυροδέματος,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ026,8,Earino,EUDOXUS,50656355,1,true
Προεντεταμένο Σκυρόδεμα - Ειδικές Κατασκευές Σκυροδέματος,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ026,8,Earino,EUDOXUS,984,2,true
Προεντεταμένο Σκυρόδεμα - Ειδικές Κατασκευές Σκυροδέματος,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ026,8,Earino,EUDOXUS,45373,3,true
Προεντεταμένο Σκυρόδεμα - Ειδικές Κατασκευές Σκυροδέματος,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ026,8,Earino,EUDOXUS,112691352,0,true
Μηχανική Παραμορφώσιμου Σώματος,ΔΡΟΣΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ038,3,Ximerino,EUDOXUS,86054774,0,true
Μηχανική Παραμορφώσιμου Σώματος,ΔΡΟΣΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ038,3,Ximerino,EUDOXUS,41955648,1,true
Μηχανική Απαραμόρφωτου Σώματος,ΔΡΟΣΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ037,2,Earino,EUDOXUS,122082925,1,true
Μηχανική Απαραμόρφωτου Σώματος,ΔΡΟΣΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ037,2,Earino,EUDOXUS,45247,0,true
