Κωδικός,Γνωστικό αντικείμενο,Επιστημονικό πεδίο,Εξωτερικοί Ιδίου,Εξωτερικοί Συναφούς
555,Πειραματική Μηχανική Δομικών Υλικών και Δομικών Στοιχείων,Δομική Μηχανική,343-1588-9667-17939-18206-18916-19760-23150,1089-2910-4538-4764-6099-6223-7834-9503-9739-9772-10800-16998-17446-17850-17965-18213-22815
556,Θεωρητική και Εφαρμοσμένη Μηχανική Δομικών Υλικών,Δομική Μηχανική,343-6223-9667-9739-9772-16998-17446-17850-17939-17965-18206-18916-23150,1089-1588-2910-6099-7834-9503-10595-10800-18213-19760-21586-22815
557,Ενισχύσεις και Επισκευές Δομικών Στοιχείων με Σύνθετα Υλικά,Δομική Μηχανική,22815,343-1089-1588-2910-4538-4764-6099-6223-7834-9503-9667-9739-9772-10800-16998-17446-17850-17965-18206-18213-18916-19760-21586-23150
558,Θεωρία Ελαστικότητας και Φαινόμενα Ευστάθειας,Ανάλυση Δομικών Φορέων,378-4279-4538-4764-4943-5357-5512-6655-9503-9667-17254-17889-18296-18768,1721-2910-6099-8104-10181-10595-10800-17850-17939-18213-19089-21919-24857
559,Σεισμική Μηχανική και Αντισεισμική Τεχνολογία των Κατασκευών,Ανάλυση Δομικών Φορέων,1089-2910-4391-5357-10168-16573-17521-19089-19152-20139-20766-21586-25803,1721-4948-5512-6655-8104-10181-12725-14962-17939-21919-22964-24857
560,Αριθμητικές Μέθοδοι Ανάλυσης των Κατασκευών,Ανάλυση Δομικών Φορέων,378-1721-2910-4948-6099-6655-6828-10595-14962-16573-17516-17889-17939-18296-18768-20873,1089-4279-5357-5512-5762-10181-10800-17521-19152-20139-21919-24857-25803
561,Στατική και Δυναμική Ανάλυση Δομικών Κατασκευών,Ανάλυση Δομικών Φορέων,1721-4279-4948-6655-10181-18296-18768-19152-20873-22964-25803,378-1089-2910-4538-4764-4943-5357-5512-5762-6099-6223-6828-8104-9503-10168-10595-10800-12725-14962-16573-17254-17516-17889-19089-20139-21919-24857
562,Σεισμική Αποτίμηση Κτηρίων Οπλισμένου Σκυροδέματος,Κατασκευές Οπλισμένου Σκυροδέματος,1089-3087-4391-8104-8821-10800-13819-14962-16573-17376-17521-17547-18803-19152-20139-22964,4279-7824-8470-12725-17993-20766-22815-23862-24857-25803
563,Πειραματική Διερεύνηση Κατασκευών Οπλισμένου Σκυροδέματος,Κατασκευές Οπλισμένου Σκυροδέματος,1089-1177-3087-8821-13819-16057-17993-18916-20139-20621-21586-22815-22964-23150,343-7824-7834-9739-10800-17376-17965-32885
564,Προεντεταμένο Σκυρόδεμα. Γεφυροποιία,Κατασκευές Οπλισμένου Σκυροδέματος,1089-3087-4391-5357-6099-7824-13819-17521-18296-19152-20139-24857-32885,1177-8821-16057-17547-18803-19089-20766-21586-22815
