Code,field,domain
555,Πειραματική Μηχανική Δομικών Υλικών και Δομικών Στοιχείων,Δομική Μηχανική
556,Θεωρητική και Εφαρμοσμένη Μηχανική Δομικών Υλικών,Δομική Μηχανική
557,Ενισχύσεις και Επισκευές Δομικών Στοιχείων με Σύνθετα Υλικά,Δομική Μηχανική
558,Θεωρία Ελαστικότητας και Φαινόμενα Ευστάθειας,Ανάλυση Δομικών Φορέων
559,Σεισμική Μηχανική και Αντισεισμική Τεχνολογία των Κατασκευών,Ανάλυση Δομικών Φορέων
560,Αριθμητικές Μέθοδοι Ανάλυσης των Κατασκευών,Ανάλυση Δομικών Φορέων
561,Στατική και Δυναμική Ανάλυση Δομικών Κατασκευών,Ανάλυση Δομικών Φορέων
562,Σεισμική Αποτίμηση Κτηρίων Οπλισμένου Σκυροδέματος,Κατασκευές Οπλισμένου Σκυροδέματος
563,Πειραματική Διερεύνηση Κατασκευών Οπλισμένου Σκυροδέματος,Κατασκευές Οπλισμένου Σκυροδέματος
564,Προεντεταμένο Σκυρόδεμα. Γεφυροποιία,Κατασκευές Οπλισμένου Σκυροδέματος
565,Σχεδιασμός και Αποτίμηση Κατασκευών από Σκυρόδεμα και Φέρουσα Τοιχοποιία,Κατασκευές Οπλισμένου Σκυροδέματος
566,Σεισμική Επιτελεστικότητα Χαλύβδινων Κατασκευών,Μεταλλικές Κατασκευές
567,Πειραματική Διερεύνηση Χαλύβδινων Κατασκευών,Μεταλλικές Κατασκευές
568,Μεταλλικές Χωροκατασκευές,Μεταλλικές Κατασκευές
569,Αρχιτεκτονικός Σχεδιασμός και Δημόσιος Χώρος,Αρχιτεκτονικός Σχεδιασμός και Δομημένο Περιβάλλον
570,Αρχιτεκτονικός Σχεδιασμός: Τεχνικές Αναπαράστασης του Χώρου και Τεχνολογίες Οικοδομικών Κατασκευών.,Αρχιτεκτονικός Σχεδιασμός και Δομημένο Περιβάλλον
571,"Αποκατάσταση, Παθολογία και Επανάχρηση Ιστορικών Κτηρίων και Συνόλων - Οικοδομική",Αρχιτεκτονικός Σχεδιασμός και Δομημένο Περιβάλλον
572,Τεχνική Γεωλογία - Βραχομηχανική,Γεωλογία
573,Τεχνική Σεισμολογία,Γεωλογία
574,Θεωρητική και Εφαρμοσμένη Εδαφομηχανική - Εδαφοδυναμική,Γεωτεχνική Μηχανική
575,Θεμελιώσεις - Αντιστηρίξεις,Γεωτεχνική Μηχανική
576,Γεωκατασκευές - Υπόγεια Έργα,Γεωτεχνική Μηχανική
577,Γεωπεριβαλλοντική Μηχανική,Γεωτεχνική Μηχανική
578,Πειραματική Εδαφομηχανική - Εδαφοδυναμική,Γεωτεχνική Μηχανική
579,Σεισμική συμπεριφορά και αλληλεπίδραση εδάφους-κατασκευής,Γεωτεχνική Μηχανική
580,Υπολογιστική Γεωτεχνική Μηχανική,Γεωτεχνική Μηχανική
581,Διακινδύνευση Γεωτεχνικών Έργων,Γεωτεχνική Μηχανική
582,Θαλάσσια Έργα,Υδρομηχανική
583,Θαλάσσια Υδραυλική και Ακτομηχανική,Υδρομηχανική
584,Υδραυλική Ανοικτών Αγωγών,Υδρομηχανική
585,Πειραματική Υδραυλική Μηχανική,Υδρομηχανική
586,Σχεδιασμός και Ανάλυση Συστημάτων Ύδρευσης και Αποχέτευσης,Υδρομηχανική
587,Υπόγεια Υδραυλική,Τεχνική Περιβάλλοντος και Υδατικοί Πόροι
588,Τεχνική Υδρολογία και Διαχείριση Υδάτικων Πόρων,Τεχνική Περιβάλλοντος και Υδατικοί Πόροι
589,"Αποτίμηση και Επεξεργασία Νερού, Υγρών και Στερεών Αποβλήτων",Τεχνική Περιβάλλοντος και Υδατικοί Πόροι
590,Περιβαλλοντική Ρευστομηχανική,Τεχνική Περιβάλλοντος και Υδατικοί Πόροι
591,Γεωδαισία και Γεωγραφικά Συστήματα Πληροφοριών,Τοπογραφία - Γεωπληροφορική
592,Προγραμματισμός και Διαχείριση Τεχνικών Έργων,Διοίκηση και Διαχείριση Τεχνικών Έργων
593,Οργάνωση Εργοταξίου και Δομικές Μηχανές,Διοίκηση και Διαχείριση Τεχνικών Έργων
594,Σχεδιασμός και Χάραξη Οδών,Μεταφορές
595,Διαχείριση Οδικών Έργων και Κυκλοφορίας,Μεταφορές
596,Σχεδιασμός των Μεταφορών και Κυκλοφοριακή Τεχνική,Μεταφορές
597,Συστήματα Αστικών Μεταφορών και Βιώσιμη Κινητικότητα,Μεταφορές
598,Επιπτώσεις Μεταφορικών Συστημάτων και Υποδομών στο Περιβάλλον,Μεταφορές
599,Σιδηροδρομικές Μεταφορές,Μεταφορές
600,Θαλάσσιες Μεταφορές,Μεταφορές
601,Αεροπορικές Μεταφορές,Μεταφορές
602,Διαφορικές Εξισώσεις και Εφαρμογές,Θετικών Επιστημών
603,Αριθμητική Ανάλυση,Θετικών Επιστημών
604,Πιθανότητες και Στατιστική,Θετικών Επιστημών
605,Θεωρητική Μηχανική – Δυναμική,Θετικών Επιστημών
606,Προγραμματισμός Η/Υ και Υπολογιστικές Εφαρμογές σε Έργα Πολιτικού Μηχανικού,Θετικών Επιστημών
