sort_order,code,name,school,department,level,examino,didactivities_name1,didactivities_hours1,didactivities_ects1,didactivities_name2,didactivities_hours2,didactivities_ects2,type,prereq,prereq_knowledge,lang,erasmus,website,learn_objectives,skills,subject1,subject2,subject3,teaching_way,techs_used,task1,hours1,task2,hours2,task3,hours3,task4,hours4,task5,hours5,hours_sum,grading,refs_books,refs_more_title,refs_more,to_be_updated_by
1,ΓΕΝ002,Linear Algebra and Analytical Geometry,Engineering,Civil Engineering,Undergraduate,1st,,3,5,,,,Scientific Background,,,Greek,No,,"Upon completing this course students should be able to use: 1.  basic concepts in Linear Algebra (tables, determinants, linear systems – homogeneous/non homogeneous), vector transformations through an array (eigenvalues and eigenvectors, similarity transformations) 2. Vector analysis and vector operations 3. Basic concepts of Analytical Algebra on the level of surface theory for the field of Civil Engineering.","The course contributes to the following skills:
- Working independently 
- Production of free, creative and inductive thinking","1.Introduction to Arrays and array operations, determinant of a square matrix .2. Calculation of determinant of greater dimension by analysis into sum of sub-determinants. 3. Allowed operations, calculation of determinant using the triangulation method. 4. Matrix multiplication, properties, permissible row operations on matrices. 5. Inverse of a square matrix and methods of inversion. 6. Linear systems. 7. The concept of vectors. 8. Vectors in space. 9-10. Analytical Geometry in the plane. 11. Analytical Geometry in space. 12. Elements of surface theory. 13. Vector transformations.",,,Face to face,"Poweroint presentations, Excel, Matlab/Octave, E-learning platform for educational material.",Lectures,39,Individual study,,Practice/exercises,,,,,,130,"Final written examination
- open-ended questions (30-40%)
 - problem - solving questions (70-60%)","- [in Greek]. Τερζίδης Χαράλαμπος, Λογισμός συναρτήσεων μιας μεταβλητής με στοιχεία διανυσματικής
& γραμμικής άλγεβρας, Εκδόσεις Χριστοδουλίδης, Θεσσαλονίκη 2006
- [In Greek]. Σουρλάς Δημήτρης, Γραμμική Άλγεβρα και Αναλυτική Γεωμετρία , Εκδόσεις Πανεπιστημίου
Πατρών, 2013
- [In Greek]. Μπράτσος Αθανάσιος, Μαθήματα Ανώτερων Μαθηματικών, ISBN 978-960-603-030-7,
[ηλεκτρ. βιβλ.] Αθήνα: Σύνδεσμος Ελληνικών Ακαδημαϊκών Βιβλιοθηκών, Ηλεκτρονική
Διεύθυνση: https://repository.kallipos.gr/handle/11419/424
[In Greek]. Παπαϊωάννου Σταύρος, Βογιατζή, Δέσποινα, Μαθηματικά Ι, ISBN 978-960-603-427-5,
[ηλεκτρ. βιβλ.] Αθήνα: Σύνδεσμος Ελληνικών Ακαδημαϊκών Βιβλιοθηκών, Ηλεκτρονική
Διεύθυνση: https://repository.kallipos.gr/handle/11419/4551",,,"Βοζίκης & Βλαχονάσιου
See column T & V."
2,ΓΕΝ001,Differential and Integral Calculus Ι,Engineering,Civil Engineering,Undergraduate,1st,Lectures,4,5,,,,Scientific Background,,,Greek,No,,"Upon completing this course students should be able to use: 1. Sets of numbers with an emphasis on complex numbers 2. The real functions of a real variable (definition, limits, continuity) 3. Basic concepts of calculus 4.  Basic concepts of differential calculus 5. Their implementations on the field of Civil Engineering.","The course contributes to the following skills:
- Working independently 
- Production of free, creative and inductive thinking","Course presentations: 1. Sets of numbers (natural, real, integer). Complex numbers (definition, complex plane, trigonometric form of a complex number, De Moivre’s theorem, exponential form, Euler’s formula). 2. The cartesian coordinate system, functions of a real variable, polynomial functions, properties. 3-4. Functions of a real variable, exponential and logarithmic functions, hyperbolic functions, properties, periodic functions, trigonometric and inverse circular functions, the concept of limit and the definition of a function of a real variable 5. The concept of derivative of a number and the derivative of a real variable 6-7. Derivative of a composite function, derivative of inverse functions, higher order derivatives, fundamental theorems, conclusions about f(x) derived from the first and second derivatives, extrema. Taylor and Maclaurin series, vector functions and their derivatives 8. Indefinite Integration, definition, basic types, and properties, methods of integration. 9. Methods of indefinite integration 10. Definite integration 11. Generalized integrals, integrals with variable limits and their differentiation, integration of functions defined on two intervals, integrals in polar coordinates, volume of a solid of revolution 12-13. Application of definite integration on the field of Civil Engineering.",,,Face to face,"Poweroint presentations, Excel, Matlab/Octave, E-learning platform for educational material.",Lectures,52,Individual study,,Practice/exercises,,,,,,130,"Final written examination
- open-ended questions (30-40%)
 - problem - solving questions (70-60%)","[In Greek]. Τερζίδης Χαράλαμπος, Λογισμός συναρτήσεων μιας μεταβλητής με στοιχεία διανυσματικής
& γραμμικής άλγεβρας, Εκδόσεις Χριστοδουλίδης, Θεσσαλονίκη 2006
[In greek]. Hass J., Heil C., Weir M.D., Απειροστικός Λογισμός, Πανεπιστημιακές Εκδόσεις Κρήτης,
Κρήτη 2005, ISBN 978-960-524-515-3, Κωδικός στον Εύδοξο: 77107082
[In greek]. Μπράτσος Αθανάσιος, Μαθήματα Ανώτερων Μαθηματικών, ISBN 978-960-603-030-7,
[ηλεκτρ. βιβλ.] Αθήνα: Σύνδεσμος Ελληνικών Ακαδημαϊκών Βιβλιοθηκών, Ηλεκτρονική
Διεύθυνση: https://repository.kallipos.gr/handle/11419/424
[In greek} Παπαϊωάννου Σταύρος, Βογιατζή, Δέσποινα, Μαθηματικά Ι, ISBN 978-960-603-427-5,
[ηλεκτρ. βιβλ.] Αθήνα: Σύνδεσμος Ελληνικών Ακαδημαϊκών Βιβλιοθηκών, Ηλεκτρονική
Διεύθυνση: https://repository.kallipos.gr/handle/11419/4551",,,"ΠΑΠΑΙΩΑΝΝΟΥ & Βλαχονάσιου
See column T & V."
3,ΣΥΓ001,Geodesy Ι,Engineering,Civil Engineering,Undergraduate,1st,Lectures and Practice,4,5,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr,"• Understand the principles of operation of basic surveying instruments.
• Conduct field measurements using a theodolite and the tachymeter-stadia system.
• Possess the theory of basic surveying applications: measurement of horizontal and vertical angles, distance measurement, photogrammetric mapping, geometric and trigonometric leveling, and apply them in practice.
• Be able to draw topographic diagrams.","The course contributes to the following skills:
_Search for, analysis and synthesis of data and information, with the use of the necessary technology 
_Decision-making
_Working independently
_Team work
_Applying knowledge
_Respect for difference and multiculturalism 
_Criticism and self-criticism 
_Production of free, creative and inductive thinking","Topics covered in the course include:
Introduction to topography. Error theory. Instruments and methods for angle measurements. Instruments and methods for distance measurements. Instruments and methods for altitude differences measurements. Advances in instrument and measurement technology. Mapping of detailed points. Area and volume calculations. Land distribution. Production of a topographic diagram.",,,Face to face,"Powerpoint presentations, E-learning platform for educational material. ",Lectures,26,Practice/exercises,26,Project(s),26,Individual study,52,,,130,"Inferential Assessment.
•        Laboratory assignment
•        Oral examination
•        Written final examination including:
o        Theoretical Extended Response Questions (formative and/or inferential)
o        Problem-solving exercises
The present course description with the assessment criteria is accessible to students in the Department's Study Guide (Department Website).
","•	[In Greek] Μαθήματα Γεωδαισίας, 2η Έκδοση, Γεωργόπουλος Γ., Εκδόσεις Τζιόλα.
•	[In Greek] Γεωδαισία Ι: Γεωδαιτικές μετρήσεις και υπολογισμοί, Σαββαϊδης Π., Υφαντής Ι., Δούκας Ι., Εκδόσεις Κυριακίδη.
•	[In Greek] Εφαρμοσμένη Γεωδαισία, Λάμπρου Ε., Πανταζής Γ., Εκδόσεις Ζήτη.
•	[In Greek] Στοιχεία Τοπογραφίας, Στυλιανίδης Ε., Εκδόσεις Δίσιγμα.
•	[In Greek] Εφαρμοσμένη Τοπογραφία, Τόμος Α’, 3η Έκδοση, Καριώτης Γ., Παναγιωτόπουλος Ε., Εκδόσεις Δίσιγμα.
",,,ΓΑΛΑΝΗΣ - ΔΑΝΙΗΛ - ΒΛΑΧΟΝΑΣΙΟΥ
4,ΓΕΝ003,Physics for Engineers,Engineering,Civil Engineering,Undergraduate,1st,,5,6,,,,Scientific Background,,,Greek,No,http://teachers.teicm.gr/vozikis/Physics/index.html,"Upon completing this course students should be able to approach a problem qualitatively, analyze and interpret what is happening, plan the solution based on basic principles and mathematical tools, verify the results and identify possible improvements.","The course promotes the following skills:
- Working independently 
- Team work
- Decision-making 
- Criticism and self-criticism 
- Production of free, creative and inductive thinking
","Theory topics
Mathematical background, Material point engineering, Introduction to oscillations, Solid state mechanics, Heat and temperature.
Laboratory exercises aim to introduce students to the essence and correct practices of the experimental process, finding and correcting measurement errors, processing the results and deriving conclusions.",,,Face to face,"Webpage for the course, E-learning platform for educational material",Lectures,40,Practice/exercises,19,Practice/exercises,6,Project(s),9,Individual study,82,156,"Theory examination (90%)
- mid-term exmams: open ended questions, problem solving questions (30%)
- final exams: open ended questions, problem solving questions (60%)
Laboratory exams (10%)
Written assignment for every laboratory exercise. ","[In Greek]. Young H., Freedman R., University Physics with Modern Physics – Vol Α, Papazisi (Ed), 2009, ISBN:978-960-02-2338-5 
[In Greek]. Halliday D., Resnick R., Walker J., Physics – Vol Α, Gutenberg (Ed.), 2012, ISBN:978- 960-01-1493-5 
[In Greek]. Fragiadakis, I., Physics and Technology, Ziti (Ed.) 2006, ISBN:960-431-854-3
[In Greek]. Mylonas, N, David, K, Physics, Engineering and Electromagnetism, Tziolas (Ed.) 2019, ISBN: 978-960-418-837-6
[In Greek]. Kleidis, K. Vozikis, C., Physics – Engineering, TEI Central Macedonia 2017, http://teachers.teicm.gr/vozikis/Physics/theory/Physics-notes.pdf",,,"ΒΟΖΙΚΗΣ - ΒΛΑΧΟΝΑΣΙΟΥ
 Βλ κείμενο για στήλες T & V"
5,ΔΟΜ001,Technical Drawing,Engineering,Civil Engineering,Undergraduate,1st,"Lectures, exercises.",4,5,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr/ ,"Upon completing this course students should be able to corelate real world geometry with graphic representations through projection, observe geometric principles in the built environment and relate them to graphic representations, represent 3D objects in 2D orthographic projections, produce hand-drawing projections of buildings in scale (plans, sections, elevations), use lineweights to convey spatial information, identify building components in orthographic drawings, read symbols related to the structure and the building components, organize drawings in sheets and place appropriate dimensions for drawings in the scale of 1:50.","Search for, analysis and synthesis of data and information, with the use of the necessary technology, Project planning and management 
Adapting to new situations, Decision-making, Working independently, Team work, Production of free, creative and inductive thinking.","The course is structured in two parts: the first part is dedicated to introducing the main principles of descriptive geometry and the relation of physical objects with their geometrical representation on paper. Students work on exercises on descriptive geometry, surface developments and orthographic projections. The second part implements the orthographic projections on the drawing of objects is space. The students learn to measure, document and produce orthographic projections of physical objects in scale drawings (1:5). They learn to make orthographic projections of buildings in scale (1:100, 1:50), axonometric projections, while at the same time they get acquainted with the building’s structure and components. The students submit 3 projects of paper and ink drawings at the end of the semester, while they also participate in a final examination on technical drawing.",,,Face to face,"Powerpoint presentations, E-learning platform for educational material. ",Lectures,26,Practice/exercises,26,Practice/exercises,,Individual study,35,Project(s),43,130,"Compulsory individual assignements.(40% of final grade)
Final written examinations: short-answer questions, drawing assignment (60% of final grade).","Malikouti, St. “TECHNICAL DRAWING: Elements of theory and methodology for applications”, Sygxroni Publications, Athens, 2018. (in Greek)
Malikouti, St., Markopoulou, N., “ARCHITECTURAL DRAWING: Methodology for drawing in scale of 1:50”, Sygxroni Publications, Athens, 2017. (in Greek)
Pavlidis, I., “Line Drawing”, Ziti Publications, Thessaloniki, 1997, (in Greek)
Bayouk, S., “Technical Drawing”, Sofia Publications, Thessaloniki, 2016. (in Greek)
Markatis, S., “Descriptive Geometry”, TSOTRAS Publications, Athens, 2016. (in Greek)
Fountas, Gr., “Descriptive Geometry”, Fountas Publications, Athens, 2005. (in Greek)
Lefkaditis, G., “Elements of Descriptive Geometry Part I”, private publication, Athens, 2010. (in Greek)
Lefkaditis, G., “Elements of Descriptive Geometry Part II”, private publication, Athens, 2008. (in Greek)
Lefkaditis, G., “Methods of Representation: Axonometry, Altimetry, Rendering”, private publication, Athens, 2006. (in Greek)
Ching Fr., “Architectural Graphics”, 6th edition, John Wiley and Sons, Inc., New Jersey, 2015

",,,ΒΛΑΧΟΝΑΣΙΟΥ
6,ΔΟΜ002,Building Materials Technology I,Engineering,Civil Engineering,Undergraduate,1st,,4,4,,,,Scientific Field,,,Greek,No,,"Upon completing this course, students should be able to identify: 
the properties of building materials, manufacturing technologies, structure
correlation and properties and the mechanical behavior of building materials.","Autonomously working, Teamwork, Decision making, Exercise criticism and self-criticism, 
Promotion of free, creative and inductive thinking","• Introduction to the structure of materials. Physical and mechanical properties.
• Characteristics, properties of natural stones and rocks.
• Structural rocks - Aggregate materials: Types, characteristics and properties.
• Powders: Definitions, Types, Production methods, Coagulation and hardening mechanisms. Aerial and
hydraulic powders.
• Cement: Raw materials, Production, Portland cement. Hydration. Special types of cements.
• Pozzolanic reaction. Physical, chemical and mechanical properties of cements. • Mortars: Composition. Categories. Properties - characteristics (Adhesion, strength, durability).
• Introduction to masonry (Types, strengths).
• Ceramic Materials (Optobricks: Properties, Strengths).
• Introduction to concrete.
• Introduction to steel materials.",,,Face to face,"Powerpoint presentations, E-learning platform for educational material. ",Lectures,26,Practice/exercises,26,Practice/exercises,52,Individual study,,Educational visit,,104,"The final written exam at the end of the semester comprises: Theoretical questions of knowledge and critical thinking, problem solving.","[In Greek] A. Triantafyllou, (2017). Structural Materials, GOTSIS Publishers. 
[In Greek] P. Kumar Mehta, P.J.M. Monteiro. Concrete: Microstructure, Properties, and Materials, Publ. McGraw Hill.",,,ΦΑΝΑΡΑΔΕΛΛΗ
7,ΓΕΝ009,Basic IT tools - Writing scientific documents,Engineering,Civil Engineering,Undergraduate,1st,,1,0,,,,General Knowledge,,,Greek,No,,"Upon completing this course students should be able to explain computer functions and operations, outline the benefits for civil engineers, choose and evaluate Internet resources, comply with third-party intellectual rights.","The course promotes the following skills:
- Working independently 
- Team work
- Decision-making 
- Criticism and self-criticism 
- Production of free, creative and inductive thinking","Computer operating systems, Windows basic operations, introduction to Word, (equations, tables, images, shapes, alignment, headers, footers), Introduction to Excel (programming simple problems, graphical representations and processing of experimental data and functions,), IF command, solving problems in Linear Algebra using predefined functions, rules for writing scientific texts, structure of a scientific assignment, bibliography and references, searching scientific databases, intellectual rights and plagiarism (use of third-party text, images, shapes), references in text.",,,Face to face,"Powerpoint presentations, course webpage, E-learning platform for educational material.",Lectures,,Individual study,,,,,,,,0,"Final examination (, open ended questions, problem solving questions)","[In Greek]. Kavousanos, E., Applications of mathematical calculus - Excel presentations, Benou (Ed.), - Παρουσίαση με την χρήση του excel, Εκδόσεις Μπένου, 2012, ISBN: 978-960-8249-93-6
[In Greek]. Kouimtzis, N. Comptaional Excel application for engineers, Zit (Ed.) 2006, ISBN: 960-431-994-9 
[In Greek]. Vozikis Christos, Intellectual property rights: clearing Open Academic Courses from third-party Intellectual property rights., TEI Central Macedonia Creative Commons: Attribution-ShareAlike 4.0
",,,"ΒΟΖΙΚΗΣ - ΒΛΑΧΟΝΑΣΙΟΥ
 Βλ κείμενο για στήλες T & V"
8,ΔΟΜ004,Engineering Mechanics Ι,Engineering,Civil Engineering,Undergraduate,2nd,,4,5,,,,Scientific Field,,,Greek,No,,Students' understanding of the effect of forces and moments on the static equilibrium of planar linear undeformed structures. The development of static sensing on the adequacy of links with the view to achieve rigid and determinate truss structures. The ability to calculate and evaluate the axial forces developed in the members of truss structures and the displacements of the nodes.,Creating the necessary background to enable a full understanding of the concepts and techniques of static solution of truss structures and of the calculation of the center of gravity of surfaces.,"•        Introduction to Engineering. Principles of vector calculus. Force and moment. Moment of a force with reference to a point and about an axis. Force couple. Parallel force transfer. Reduction of a system of forces.
•        Composition of concurrent and parallel forces – graphic and analytical calculation of the resultant. Decomposition of forces into components. Forces in space.
•        Calculation of the area of surfaces and determining the center of gravity of simple and complex surfaces.
•        Rigid body equilibrium conditions. Mechanisms, determinate and indeterminate structures, degrees of freedom, types of supports of structures.","•        Free-body diagram. Calculation of support reactions.
•        Truss structures. Formation - members. Analytical method of nodes. The method of Ritter sections.
•        Complex trusses. Three-hinge trusses.
•        Principle of virtual work. Calculation of node displacements of truss",,Face to face,"Powerpoint presentations, E-learning platform for educational material. ",Lectures,52,Individual study,78,,,,,,,130,"1. Assignment of tasks in order to investigate the understanding of the concepts taught.
2. Final written exam at the end of the semester (in Greek).
3. Each student is given the opportunity to check his examination paper and have his mistakes analyzed.","• http://users.teilar.gr/~p.lokkas/Stat.pdf
• [in Greek] Βαρδουλάκη Ι., Γιαννακόπουλου Α. «Τεχνική Μηχανική Ι», Εκδόσεις Συμμετρία 2004.
• [in Greek] Ν. Αραποστάθη, Δ. Αραποστάθη. «Τεχνική Μηχανική – Μηχανική Ι», Εκδόσεις Ίων, 2007.
• [in Greek] Π. Βουθούνη. «Μηχανική Απαραμόρφωτου Στερεού», Εκδόσεις Α. Βουθούνη, 2017.
• [in Greek] Beer F., Johnston E.R., Mazurek D., «Στατική – Τεχνική Μηχανική», Εκδόσεις Τζιόλα, 2018
• [in Greek] Θ. Γεωργόπουλου, «Στατική του απαραμόρφωτου σώματος», Έκδοση Π. Γεωργόπουλος, 2018.
• Hassan Al Nageim, «Structural Mechanics: Loads, Analysis, Design and Materials», Prentice Hall, 2003.
• R. Hulse, «Structural Mechanics», Red Globe Press, 2000.
• Hulse, R. Cain, J., «Structural Mechanics», Macmillan, 1994.",,,ΜΠΑΚΑΛΗΣ (Δανιήλ)
9,ΓΕΝ005,Probabilities and Statistics,Engineering,Civil Engineering,Undergraduate,2nd,,3,4,,,,Scientific Background,,,Greek,No,,"Upon completing this course students should be able to use combinatorial analysis, theory of probability, basic consensus statistics, basic distribution functions, implement in valuation issues and use regression-correlation.","The course contributes to the following skills:
- Working independently 
- Production of free, creative and inductive thinking","Combinatorial analysis, basic concepts in Statistics, census statistics, statistical measures of central tendency, probabilities (concepts and exercises), probability distribution functions in discrete random variables, polynomial and exponential probability distribution functions, valuation, confidence intervals for the difference of means, fundamentals of time series.",,,Face to face,"Poweroint presentations, Excel, Matlab/Octave, E-learning platform for educational material.",Lectures,39,Individual study,,Practice/exercises,,,,,,104,"Final written examination
- open-ended questions (30-40%)
 - problem - solving questions (70-60%)","[In Greek] Zafeiropoulos, K., Introduction to Statistics and probabilities, Kritiki (Ed), Thessaloniki, 2017, ISBN: 9789605861476
[In Greek] Chalikias, I., Statistics: method of analysis for business decisions, Rosili (Ed). Athens, 2017. 
[In Greek] Zafeiropoulos, K., Mylonas, N., Statistic with SPSS, Tziolas (Ed). Thessaloniki, 2017, ISBN 9789604186808
[In Greek] Papaioannou, S. Course notes: http://pde.teiser.gr/papaioannou/stoixia_pithanotiton_statistikis.asp
",,,"ΒΟΖΙΚΗΣ - ΒΛΑΧΟΝΑΣΙΟΥ
 Βλ κείμενο για στήλες T & V"
10,ΓΕΝ004,Differential and Integral Calculus ΙΙ,Engineering,Civil Engineering,Undergraduate,2nd,,4,5,,,,Scientific Background,,,Greek,No,,Upon completing this course students should be able to use: functions of most variables and recognize their graphic representations 2. The concepts of partial derivative and total differential 3. The solving of double and triple integrals 4. Basic concepts of Differential Geometry 5. Line integrals and surface integrals. 6. Implement the above in the field of Civil Engineering.,"The course contributes to the following skills:
- Working independently 
- Production of free, creative and inductive thinking","Course content: 1. Introduction to functions of two real variables, examples of graphical representations, sphere, ellipsoid, paraboloid, cone, intersection of surfaces and planes, domain and definition of continuity for z=f(x, y). 2. The concept of partial derivative, physical and geometric interpretation, types and theorems of partial derivatives. The concept of total differential, higher-order partial derivatives. 3. Study of extrema, the problem of least squares, constrained extrema 4. Double Integrals, their physical and geometric interpretation, properties, and methods of computation. Types of integration domains 5. Double integrals, change of variables. Polar Coordinates. Generalization of the Change of Variables Problem, moment of Inertia of a Plane Surface. 6. Triple Integrals. Physical Interpretation. Properties and Computation Methods 7-9. Fundamental knowledge of vector analysis: scalar and vector fields, vector functions. Derivative of a vector function. Angular velocity. Uniform circular motion. Arc length of a curve. Derivative of z=f(x,y) in a given direction. Integration of vector functions. Gradient of scalar fields. Divergence and curl of vector fields 10-11. Line integrals (definition, properties and calculation methods). Path-independent line integrals. Conservative vector fields. 12. Surface integrals (definition, properties and calculation methods). 13. Stokes' theorem and Gauss's Divergence theorem. ",,,Face to face,"Poweroint presentations, Excel, Matlab/Octave, E-learning platform for educational material.",Lectures,52,Individual study,,Practice/exercises,,,,,,130,"Final written examination
 - open-ended questions (30-40%) 
- problem - solving questions (70-60%)","[In Greek]. Τερζίδης Χαράλαμπος, Λογισμός συναρτήσεων μιας μεταβλητής με στοιχεία διανυσματικής
& γραμμικής άλγεβρας, Εκδόσεις Χριστοδουλίδης, Θεσσαλονίκη 2006
[In greek]. Hass J., Heil C., Weir M.D., Απειροστικός Λογισμός, Πανεπιστημιακές Εκδόσεις Κρήτης,
Κρήτη 2005, ISBN 978-960-524-515-3, Κωδικός στον Εύδοξο: 77107082
[In greek]. Μπράτσος Αθανάσιος, Μαθήματα Ανώτερων Μαθηματικών, ISBN 978-960-603-030-7,
[ηλεκτρ. βιβλ.] Αθήνα: Σύνδεσμος Ελληνικών Ακαδημαϊκών Βιβλιοθηκών, Ηλεκτρονική
Διεύθυνση: https://repository.kallipos.gr/handle/11419/424
[In greek} Παπαϊωάννου Σταύρος, Βογιατζή, Δέσποινα, Μαθηματικά Ι, ISBN 978-960-603-427-5,
[ηλεκτρ. βιβλ.] Αθήνα: Σύνδεσμος Ελληνικών Ακαδημαϊκών Βιβλιοθηκών, Ηλεκτρονική
Διεύθυνση: https://repository.kallipos.gr/handle/11419/4551",,,"ΠΑΠΑΙΩΑΝΝΟΥ & Βλαχονάσιου
See column T & V."
