code,name,kind,capacity,notes
202,Αίθουσα 202,ΑΙΘΟΥΣΑ,,
204,Αίθουσα 204,ΑΙΘΟΥΣΑ,,
205,Αίθουσα 205,ΑΙΘΟΥΣΑ,,
206,Αίθουσα 206,ΑΙΘΟΥΣΑ,,
207,Αίθουσα 207,ΑΙΘΟΥΣΑ,,
301,Αίθουσα 301,ΑΙΘΟΥΣΑ,,
ΗΥ1,Αίθουσα Η/Υ 1,ΗΥ,,
ΗΥ2,Αίθουσα Η/Υ 2,ΗΥ,,
ΑΡΧ,Αίθουσα Αρχιτεκτονικής,ΕΡΓΑΣΤΗΡΙΟ,,
ΦΥΣ,Εργαστήριο Φυσικής Ι,ΕΡΓΑΣΤΗΡΙΟ,,
ΤΣ1,Εργαστήριο Τεχνικού Σχεδίου Ι,ΕΡΓΑΣΤΗΡΙΟ,,
ΤΣ2,Εργαστήριο Τεχνικού Σχεδίου ΙΙ,ΕΡΓΑΣΤΗΡΙΟ,,
ΓΕΩΔ,Εργαστήριο Γεωδαισίας,ΕΡΓΑΣΤΗΡΙΟ,,
ΠΟΙΟΤ,Εργαστήριο Ποιοτικού Ελέγχου,ΕΡΓΑΣΤΗΡΙΟ,,
ΜΕΤΑΦ,Εργαστήριο Μεταφορών και Συγκοινωνιακής Υποδομής,ΕΡΓΑΣΤΗΡΙΟ,,
