short_name,last_name,first_name,category,rank,subject,website_url,placeholder,notes
Κολιόπουλος,Κολιόπουλος,Παναγιώτης,ΔΕΠ,Καθηγητής,Στατική και δυναμική ανάλυση κατασκευών,https://www.civil.ihu.gr/staff/koliopoulos-panagiotis/,,
Βοζίκης,Βοζίκης,Χρήστος,ΔΕΠ,Αναπληρωτής Καθηγητής,,https://www.civil.ihu.gr/staff/vozikis-christos/,,
Γαλάνης,Γαλάνης,Αθανάσιος,ΔΕΠ,Αναπληρωτής Καθηγητής,Σχεδιασμός και Χάραξη Οδών,https://www.civil.ihu.gr/staff/galanis-athanasios/,,
Κίρτας,Κίρτας,Εμμανουήλ,ΔΕΠ,Αναπληρωτής Καθηγητής,Σεισμική συμπεριφορά και αλληλεπίδραση εδάφους-κατασκευής,https://www.civil.ihu.gr/staff/kirtas-emmanouil/,,
Μιχαηλίδης,Μιχαηλίδης,Κωνσταντίνος,ΔΕΠ,Αναπληρωτής Καθηγητής,Θαλάσσια Έργα,https://www.civil.ihu.gr/staff/michailides-constantine/,,
Δανιήλ,Δανιήλ,Μαρία,ΔΕΠ,Επίκουρος Καθηγητής,Αρχιτεκτονικός σχεδιασμός κτηρίων και δημόσιοι χώροι,https://www.civil.ihu.gr/staff/daniil-maria/,,
Δροσόπουλος,Δροσόπουλος,Γεώργιος,ΔΕΠ,Επίκουρος Καθηγητής,Δομική-υπολογιστική μηχανική,https://www.civil.ihu.gr/staff/drosopoulos-george/,,
Καζαντζή,Καζαντζή,Αθανασία,ΔΕΠ,Επίκουρος Καθηγητής,Σεισμική συμπεριφορά μεταλλικών κατασκευών,https://www.civil.ihu.gr/staff/kazantzi-athanasia/,,
Μίκικη,Μίκικη,Φωτεινή,ΔΕΠ,Επίκουρος Καθηγητής,Σχεδιασμός μεταφορών και συγκοινωνιακή τεχνική,https://www.civil.ihu.gr/staff/mikiki-foteini/,,
Φωτοπούλου,Φωτοπούλου,Σταυρούλα,ΔΕΠ,Επίκουρος Καθηγητής,Διακινδύνευση γεωτεχνικών έργων,https://www.civil.ihu.gr/staff/fotopoulou-stauroula/,,
Βλαχονάσιου,Βλαχονάσιου,Ελένη,ΔΕΠ,Λέκτορας,Αρχιτεκτονικός Σχεδιασμός και Οικοδομική − Αρχιτεκτονική Σχεδίαση,https://www.civil.ihu.gr/staff/vlachonasiou-helen/,,
Παναγόπουλος,Παναγόπουλος,Γεώργιος,ΔΕΠ,Λέκτορας,Αντισεισμικός Σχεδιασμός Δομικών Έργων,https://www.civil.ihu.gr/staff/panagopoulos-george/,,
